#1:x 2:y 3:z 4:n.x 5:n.y 6:n.z
-0.404671 -0.350562 -0.0185312 -0.38137 -0.60212 -0.0165094
-0.353674 -0.374262 -0.0617621 -0.307824 -0.584619 -0.107558
-0.356488 -0.37572 -0.043689 -0.316118 -0.605242 -0.07864
-0.36304 -0.36891 -0.0759412 -0.307824 -0.584619 -0.107558
-0.365745 -0.37034 -0.0578405 -0.316118 -0.605242 -0.07864
-0.337891 -0.381836 -0.0693358 -0.286561 -0.604868 -0.108571
-0.337891 -0.384831 -0.0528001 -0.294246 -0.625861 -0.0798937
-0.357422 -0.377196 -0.0256333 -0.32531 -0.626217 -0.0484723
-0.357422 -0.378202 -0.00710818 -0.335574 -0.647743 -0.0166836
-0.338684 -0.386428 -0.0348658 -0.30294 -0.647663 -0.0493976
-0.339753 -0.386938 -0.0158441 -0.312717 -0.670319 -0.0169649
-0.289317 -0.390725 -0.117288 -0.228463 -0.579469 -0.192067
-0.310523 -0.391455 -0.0789552 -0.259366 -0.602862 -0.137772
-0.293903 -0.392512 -0.0995437 -0.233985 -0.600047 -0.165968
-0.29834 -0.394905 -0.0824045 -0.239246 -0.622401 -0.138353
-0.270313 -0.390906 -0.137 -0.206544 -0.574478 -0.218978
-0.27634 -0.393037 -0.119599 -0.210314 -0.595875 -0.193812
-0.257172 -0.392993 -0.139087 -0.188206 -0.590146 -0.221648
-0.259766 -0.397608 -0.124171 -0.191563 -0.61297 -0.195467
-0.279297 -0.396932 -0.103963 -0.214564 -0.618401 -0.167035
-0.279297 -0.401704 -0.0892036 -0.220002 -0.639659 -0.140339
-0.253268 -0.411156 -0.0791251 -0.200974 -0.656785 -0.142241
-0.259766 -0.403327 -0.110359 -0.196422 -0.633947 -0.169631
-0.261181 -0.407387 -0.0948866 -0.200974 -0.656785 -0.142241
-0.31375 -0.392819 -0.0607877 -0.265776 -0.624611 -0.109613
-0.317013 -0.394178 -0.0426158 -0.273011 -0.646836 -0.080153
-0.298828 -0.398457 -0.0664259 -0.245343 -0.644266 -0.11039
-0.298828 -0.401319 -0.0497563 -0.252304 -0.666419 -0.081277
-0.318359 -0.395467 -0.0243733 -0.281077 -0.669527 -0.0493968
-0.318359 -0.396425 -0.00580034 -0.290169 -0.692833 -0.0169974
-0.298828 -0.403221 -0.0321275 -0.260063 -0.689588 -0.0503492
-0.298828 -0.404171 -0.0135459 -0.268701 -0.713943 -0.017356
-0.269859 -0.410268 -0.0587058 -0.225851 -0.661839 -0.11231
-0.272177 -0.411052 -0.0399581 -0.23203 -0.685545 -0.0824248
-0.279321 -0.40549 -0.0734586 -0.225851 -0.661839 -0.11231
-0.281353 -0.407547 -0.0559844 -0.23203 -0.685545 -0.0824248
-0.257858 -0.412549 -0.0609864 -0.205879 -0.681142 -0.112979
-0.259766 -0.41454 -0.0434462 -0.21151 -0.705761 -0.0827287
-0.266296 -0.409178 -0.0771471 -0.205879 -0.681142 -0.112979
-0.274544 -0.411843 -0.0212181 -0.238987 -0.710201 -0.0508113
-0.27586 -0.41228 -0.00212349 -0.246846 -0.735668 -0.0174853
-0.284174 -0.408511 -0.0374174 -0.238987 -0.710201 -0.0508113
-0.285628 -0.409004 -0.0183787 -0.246846 -0.735668 -0.0174853
-0.259766 -0.416366 -0.025741 -0.218054 -0.730727 -0.0512186
-0.259766 -0.417278 -0.00712166 -0.225443 -0.756889 -0.0176686
-0.312803 -0.372993 -0.138618 -0.243892 -0.54048 -0.215628
-0.317699 -0.376163 -0.122257 -0.248361 -0.561807 -0.189831
-0.320089 -0.367103 -0.152259 -0.243938 -0.540445 -0.215617
-0.325841 -0.370084 -0.135709 -0.24836 -0.561808 -0.189831
-0.298542 -0.377029 -0.142654 -0.224726 -0.558212 -0.217061
-0.298837 -0.383815 -0.129909 -0.229316 -0.578578 -0.192106
-0.306933 -0.370425 -0.155581 -0.224705 -0.558228 -0.217066
-0.318359 -0.3817 -0.108262 -0.25358 -0.582204 -0.164216
-0.319069 -0.386257 -0.0932878 -0.259366 -0.602862 -0.137772
-0.301955 -0.388036 -0.114599 -0.233985 -0.600047 -0.165968
-0.306937 -0.389988 -0.0970195 -0.239246 -0.622401 -0.138353
-0.27936 -0.38418 -0.149805 -0.206633 -0.573806 -0.219561
-0.28331 -0.388595 -0.134688 -0.210314 -0.595875 -0.193812
-0.262733 -0.388444 -0.154069 -0.188206 -0.590146 -0.221648
-0.322972 -0.388433 -0.0759325 -0.265776 -0.624611 -0.109613
-0.326232 -0.389826 -0.0577948 -0.273011 -0.646836 -0.080153
-0.406472 -0.156573 -0.312823 -0.335002 -0.229948 -0.43505
-0.426778 -0.119215 -0.314527 -0.366744 -0.180393 -0.452864
-0.410533 -0.143407 -0.319188 -0.332762 -0.212636 -0.454601
-0.414931 -0.126187 -0.3215 -0.352842 -0.18479 -0.462368
-0.429806 -0.105425 -0.320269 -0.364508 -0.163754 -0.471738
-0.43309 -0.0871329 -0.321508 -0.388773 -0.133048 -0.478178
-0.40804 -0.101772 -0.336147 -0.351336 -0.152795 -0.495869
-0.416755 -0.107954 -0.322797 -0.359155 -0.159446 -0.4814
-0.410945 -0.0865627 -0.340469 -0.361352 -0.134284 -0.504364
-0.420229 -0.0889696 -0.323345 -0.366385 -0.133226 -0.500389
-0.446378 -0.0629095 -0.316816 -0.414228 -0.102269 -0.483503
-0.447884 -0.0477389 -0.321176 -0.427303 -0.0725892 -0.500108
-0.449204 -0.0288869 -0.321856 -0.43997 -0.0439257 -0.516105
-0.449883 -0.00965106 -0.322151 -0.452932 -0.0149158 -0.532152
-0.435394 -0.0682345 -0.322141 -0.399686 -0.105468 -0.494846
-0.426527 -0.0431018 -0.336071 -0.39958 -0.0738072 -0.526613
-0.435872 -0.0490381 -0.322476 -0.409432 -0.0775559 -0.513012
-0.413888 -0.0677677 -0.341205 -0.375476 -0.105601 -0.518923
-0.42332 -0.0703273 -0.324234 -0.377234 -0.102483 -0.520283
-0.415858 -0.0487067 -0.341675 -0.385163 -0.0772528 -0.537584
-0.425274 -0.0559797 -0.329417 -0.391919 -0.0760757 -0.532005
-0.427525 -0.0282782 -0.340778 -0.411389 -0.0445156 -0.544095
-0.437181 -0.0295199 -0.322489 -0.420783 -0.0479313 -0.531286
-0.428214 -0.0095303 -0.341562 -0.423576 -0.0152293 -0.561195
-0.437922 -0.00984728 -0.322347 -0.433805 -0.0164677 -0.549727
-0.416016 -0.0292969 -0.341797 -0.395828 -0.0477567 -0.556416
-0.416016 -0.00976563 -0.341797 -0.40799 -0.0164452 -0.575565
-0.329562 -0.235444 -0.313569 -0.244006 -0.327942 -0.428052
-0.370085 -0.198305 -0.315492 -0.286213 -0.277113 -0.436674
-0.388686 -0.178198 -0.314917 -0.310125 -0.252414 -0.43746
-0.393859 -0.164213 -0.320463 -0.318759 -0.235587 -0.445654
-0.375615 -0.184318 -0.321037 -0.295722 -0.260449 -0.443829
-0.37103 -0.161013 -0.336794 -0.291356 -0.235053 -0.47359
-0.378573 -0.167362 -0.323612 -0.299279 -0.235905 -0.464816
-0.350461 -0.217291 -0.314947 -0.263934 -0.30249 -0.433576
-0.356287 -0.20391 -0.321097 -0.272565 -0.285934 -0.441502
-0.336351 -0.222743 -0.3204 -0.250876 -0.310971 -0.438153
-0.333392 -0.200011 -0.33673 -0.251726 -0.282211 -0.466063
-0.339715 -0.207159 -0.324346 -0.2528 -0.287161 -0.460039
-0.333751 -0.16236 -0.357672 -0.258995 -0.23847 -0.502535
-0.352718 -0.1811 -0.33735 -0.272711 -0.259505 -0.467784
-0.3596 -0.187601 -0.32432 -0.275297 -0.261386 -0.463317
-0.35717 -0.165772 -0.341553 -0.279163 -0.236952 -0.483886
-0.365743 -0.174088 -0.330338 -0.280983 -0.239642 -0.479375
-0.337744 -0.1854 -0.34165 -0.255783 -0.262954 -0.481263
-0.346456 -0.19415 -0.330869 -0.258578 -0.266858 -0.474564
-0.340725 -0.168514 -0.344296 -0.259192 -0.2385 -0.502308
-0.316097 -0.240093 -0.318218 -0.231596 -0.330379 -0.438025
-0.293985 -0.256705 -0.315299 -0.203435 -0.357779 -0.438786
-0.290569 -0.235316 -0.332973 -0.207444 -0.331956 -0.4606
-0.298809 -0.244119 -0.322244 -0.211397 -0.340715 -0.447888
-0.25595 -0.276001 -0.315063 -0.167594 -0.389007 -0.4434
-0.278043 -0.260981 -0.319574 -0.193605 -0.363987 -0.442409
-0.277065 -0.239189 -0.336845 -0.195823 -0.335052 -0.469125
-0.280886 -0.247797 -0.325922 -0.193779 -0.34245 -0.463771
-0.252784 -0.255224 -0.333349 -0.171035 -0.361295 -0.46767
-0.260061 -0.264033 -0.322627 -0.17504 -0.371159 -0.453801
-0.259201 -0.243399 -0.341055 -0.175754 -0.34629 -0.477957
-0.265723 -0.252015 -0.33014 -0.174403 -0.351116 -0.474481
-0.294267 -0.199232 -0.355482 -0.216177 -0.287042 -0.496781
-0.312874 -0.218002 -0.335189 -0.224951 -0.304922 -0.470127
-0.319376 -0.225827 -0.323484 -0.231604 -0.313441 -0.454956
-0.317963 -0.204658 -0.341377 -0.233737 -0.2893 -0.476963
