x y z n.x n.y n.z
0.09375 0.49144 0.03125 -0.202102 -0.97936 -0.00291476
0.117155 0.484375 0.015625 -0.233902 -0.97226 -0.000966871
0.11722 0.484375 0 -0.233902 -0.97226 -0.000966871
0.125 0.482503 0 -0.233902 -0.97226 -0.000966871
0.125 0.482488 0.015625 -0.233902 -0.97226 -0.000966871
0.11693 0.484375 0.03125 -0.233931 -0.972249 -0.00290137
0.117124 0.484375 0.015625 -0.233931 -0.972249 -0.00290137
0.125 0.48248 0.015625 -0.233931 -0.972249 -0.00290137
0.125 0.482433 0.03125 -0.233931 -0.972249 -0.00290137
0.109375 0.488931 0 -0.233902 -0.97226 -0.000966871
0.125 0.485172 0 -0.233902 -0.97226 -0.000966871
0.125 0.485156 0.015625 -0.233902 -0.97226 -0.000966871
0.109375 0.488915 0.015625 -0.233902 -0.97226 -0.000966871
0.109375 0.488929 0.015625 -0.233931 -0.972249 -0.00290137
0.125 0.48517 0.015625 -0.233931 -0.972249 -0.00290137
0.125 0.485123 0.03125 -0.233931 -0.972249 -0.00290137
0.109375 0.488882 0.03125 -0.233931 -0.972249 -0.00290137
0.09375 0.491454 0.03125 -0.202105 -0.979352 -0.0048579
0.109375 0.488229 0.03125 -0.202105 -0.979352 -0.0048579
0.109375 0.488152 0.046875 -0.202105 -0.979352 -0.0048579
0.09375 0.491376 0.046875 -0.202105 -0.979352 -0.0048579
0.09375 0.491395 0.046875 -0.202113 -0.979339 -0.00680096
0.109375 0.48817 0.046875 -0.202113 -0.979339 -0.00680096
0.109375 0.488062 0.0625 -0.202113 -0.979339 -0.00680096
0.09375 0.491287 0.0625 -0.202113 -0.979339 -0.00680096
0.116597 0.484375 0.046875 -0.233989 -0.972227 -0.00483815
0.11692 0.484375 0.03125 -0.233989 -0.972227 -0.00483815
0.125 0.48243 0.03125 -0.233989 -0.972227 -0.00483815
0.125 0.482353 0.046875 -0.233989 -0.972227 -0.00483815
0.116157 0.484375 0.0625 -0.234076 -0.972195 -0.00677871
0.116609 0.484375 0.046875 -0.234076 -0.972195 -0.00677871
0.125 0.482355 0.046875 -0.234076 -0.972195 -0.00677871
0.125 0.482246 0.0625 -0.234076 -0.972195 -0.00677871
0.109375 0.488902 0.03125 -0.233989 -0.972227 -0.00483815
0.125 0.485141 0.03125 -0.233989 -0.972227 -0.00483815
0.125 0.485064 0.046875 -0.233989 -0.972227 -0.00483815
0.109375 0.488824 0.046875 -0.233989 -0.972227 -0.00483815
0.109375 0.48885 0.046875 -0.234076 -0.972195 -0.00677871
0.125 0.485088 0.046875 -0.234076 -0.972195 -0.00677871
0.125 0.484979 0.0625 -0.234076 -0.972195 -0.00677871
0.109375 0.488741 0.0625 -0.234076 -0.972195 -0.00677871
0.0625 0.495487 0.0625 -0.141416 -0.989911 -0.00883849
0.078125 0.493255 0.0625 -0.141416 -0.989911 -0.00883849
0.078125 0.493116 0.078125 -0.141416 -0.989911 -0.00883849
0.0625 0.495348 0.078125 -0.141416 -0.989911 -0.00883849
0.0625 0.495364 0.078125 -0.141413 -0.989892 -0.0108024
0.078125 0.493131 0.078125 -0.141413 -0.989892 -0.0108024
0.078125 0.492961 0.09375 -0.141413 -0.989892 -0.0108024
0.0625 0.495193 0.09375 -0.141413 -0.989892 -0.0108024
0.078125 0.493562 0.0625 -0.171994 -0.985059 -0.00879517
0.09375 0.490833 0.0625 -0.171994 -0.985059 -0.00879517
0.09375 0.490694 0.078125 -0.171994 -0.985059 -0.00879517
0.078125 0.493422 0.078125 -0.171994 -0.985059 -0.00879517
0.078125 0.493444 0.078125 -0.171991 -0.98504 -0.0107494
0.09375 0.490716 0.078125 -0.171991 -0.98504 -0.0107494
0.09375 0.490546 0.09375 -0.171991 -0.98504 -0.0107494
0.078125 0.493274 0.09375 -0.171991 -0.98504 -0.0107494
0.0625 0.495213 0.09375 -0.14141 -0.989869 -0.0127662
0.078125 0.492981 0.09375 -0.14141 -0.989869 -0.0127662
0.078125 0.49278 0.109375 -0.14141 -0.989869 -0.0127662
0.0625 0.495012 0.109375 -0.14141 -0.989869 -0.0127662
0.0625 0.495036 0.109375 -0.141406 -0.989842 -0.0147298
0.078125 0.492804 0.109375 -0.141406 -0.989842 -0.0147298
0.078125 0.492572 0.125 -0.141406 -0.989842 -0.0147298
0.0625 0.494804 0.125 -0.141406 -0.989842 -0.0147298
0.078125 0.493301 0.09375 -0.171987 -0.985017 -0.0127036
0.09375 0.490573 0.09375 -0.171987 -0.985017 -0.0127036
0.09375 0.490371 0.109375 -0.171987 -0.985017 -0.0127036
0.078125 0.4931 0.109375 -0.171987 -0.985017 -0.0127036
0.078125 0.493132 0.109375 -0.171983 -0.984991 -0.0146576
0.09375 0.490404 0.109375 -0.171983 -0.984991 -0.0146576
0.09375 0.490171 0.125 -0.171983 -0.984991 -0.0146576
0.078125 0.4929 0.125 -0.171983 -0.984991 -0.0146576
0.09375 0.491311 0.0625 -0.202126 -0.97932 -0.00874393
0.109375 0.488086 0.0625 -0.202126 -0.97932 -0.00874393
0.109375 0.487946 0.078125 -0.202126 -0.97932 -0.00874393
0.09375 0.491171 0.078125 -0.202126 -0.97932 -0.00874393
0.09375 0.4912 0.078125 -0.202149 -0.979296 -0.0106868
0.109375 0.487975 0.078125 -0.202149 -0.979296 -0.0106868
0.109375 0.487804 0.09375 -0.202149 -0.979296 -0.0106868
0.09375 0.49103 0.09375 -0.202149 -0.979296 -0.0106868
0.11561 0.484375 0.078125 -0.234192 -0.972151 -0.00872459
0.116192 0.484375 0.0625 -0.234192 -0.972151 -0.00872459
0.125 0.482253 0.0625 -0.234192 -0.972151 -0.00872459
0.125 0.482113 0.078125 -0.234192 -0.972151 -0.00872459
0.114957 0.484375 0.09375 -0.234337 -0.972097 -0.0106773
0.115669 0.484375 0.078125 -0.234337 -0.972097 -0.0106773
0.125 0.482126 0.078125 -0.234337 -0.972097 -0.0106773
0.125 0.481954 0.09375 -0.234337 -0.972097 -0.0106773
0.109375 0.488772 0.0625 -0.234192 -0.972151 -0.00872459
0.125 0.485008 0.0625 -0.234192 -0.972151 -0.00872459
0.125 0.484868 0.078125 -0.234192 -0.972151 -0.00872459
0.109375 0.488632 0.078125 -0.234192 -0.972151 -0.00872459
0.109375 0.48867 0.078125 -0.234337 -0.972097 -0.0106773
0.125 0.484903 0.078125 -0.234337 -0.972097 -0.0106773
0.125 0.484732 0.09375 -0.234337 -0.972097 -0.0106773
0.109375 0.488498 0.09375 -0.234337 -0.972097 -0.0106773
0.09375 0.491065 0.09375 -0.202185 -0.979266 -0.0126294
0.109375 0.487839 0.09375 -0.202185 -0.979266 -0.0126294
0.109375 0.487637 0.109375 -0.202185 -0.979266 -0.0126294
0.09375 0.490863 0.109375 -0.202185 -0.979266 -0.0126294
0.09375 0.490904 0.109375 -0.202238 -0.979228 -0.0145718
0.109375 0.487677 0.109375 -0.202238 -0.979228 -0.0145718
0.109375 0.487444 0.125 -0.202238 -0.979228 -0.0145718
0.09375 0.490671 0.125 -0.202238 -0.979228 -0.0145718
0.114199 0.484375 0.109375 -0.234511 -0.972031 -0.0126383
0.115041 0.484375 0.09375 -0.234511 -0.972031 -0.0126383
0.125 0.481972 0.09375 -0.234511 -0.972031 -0.0126383
0.125 0.481769 0.109375 -0.234511 -0.972031 -0.0126383
0.113336 0.484375 0.125 -0.234714 -0.971955 -0.0146092
0.114309 0.484375 0.109375 -0.234714 -0.971955 -0.0146092
