x y n.x n.y
0.185661 0.402747 0.214372 -0.976752 1
0.185547 0.411664 -0.19829 0.980143 1
0.189453 0.0541595 0.235865 -0.971786 2
0.190374 0.0553961 0.565801 -0.824542 2
0.190699 0.0612097 0.876801 0.480854 2
0.188972 0.0638839 0.684877 0.728659 2
0.189453 0.134131 -0.488461 -0.872586 1
0.189572 0.151018 0.585798 0.810457 1
0.188387 0.152992 0.590066 0.807355 1
0.189453 0.318097 0.537383 -0.843338 1
0.189453 0.337572 -0.439295 0.898343 1
0.189453 0.403397 0.195584 -0.980687 1
0.189453 0.412308 -0.180655 0.983546 1
0.192794 0.0566406 0.893789 -0.448488 2
0.192309 0.0602475 0.877758 0.479104 2
0.193359 0.13157 -0.454961 -0.890511 1
0.194064 0.147626 0.545065 0.838394 1
0.192952 0.14945 0.547946 0.836514 1
0.192818 0.319522 0.488734 -0.872433 1
0.193857 0.321128 0.488734 -0.872433 1
0.193359 0.338936 -0.39855 0.917147 1
0.1943 0.340284 -0.39855 0.917147 1
0.193359 0.404024 0.178121 -0.984009 1
0.193359 0.412901 -0.163339 0.98657 1
0.197266 0.130145 -0.423161 -0.906055 1
0.197266 0.146329 0.511817 0.859094 1
0.197266 0.322347 0.438944 -0.898514 1
0.197266 0.341072 -0.360077 0.932923 1
0.197266 0.404607 0.160061 -0.987107 1
0.197266 0.413451 -0.146886 0.989153 1
0.201172 0.127878 -0.393016 -0.919532 1
0.200078 0.129273 -0.393016 -0.919532 1
0.201347 0.143574 0.474024 0.880512 1
0.200351 0.145141 0.474024 0.880512 1
0.200787 0.323548 0.393413 -0.919362 1
0.201658 0.324846 0.393413 -0.919362 1
0.201172 0.342179 -0.323614 0.946189 1
0.201172 0.405136 0.1414 -0.989953 1
0.200609 0.413878 -0.131399 0.99133 1
0.201172 0.414381 -0.131399 0.99133 1
0.205078 0.126658 -0.363803 -0.931476 1
0.205078 0.142195 0.437653 0.899144 1
0.205078 0.325818 0.348246 -0.937403 1
0.205039 0.343179 -0.285795 0.958291 1
0.205706 0.344145 -0.285795 0.958291 1
0.205078 0.405616 0.123148 -0.992388 1
0.205078 0.414802 -0.116646 0.993174 1
0.209471 0.0566406 -0.942281 -0.334824 3
0.209854 0.0601084 -0.813336 0.581795 3
0.209491 0.124484 -0.335923 -0.94189 1
0.20873 0.125606 -0.335923 -0.94189 1
0.209108 0.139816 0.404135 0.914699 1
0.208228 0.141154 0.404135 0.914699 1
0.208984 0.326883 0.301975 -0.953316 1
0.208984 0.344805 -0.246448 0.969156 1
0.208984 0.406041 0.105675 -0.994401 1
0.209264 0.406428 0.105675 -0.994401 1
0.208984 0.415178 -0.100687 0.994918 1
0.213392 0.0537335 -0.549211 -0.835684 3
0.211337 0.0555279 -0.9032 -0.42922 3
0.212891 0.0610613 -0.431253 0.902231 3
0.212891 0.123633 -0.307363 -0.951592 1
0.212891 0.138627 0.370412 0.928868 1
0.212481 0.327718 0.254727 -0.967013 1
0.213092 0.328586 0.254727 -0.967013 1
0.212891 0.345547 -0.2078 0.978171 1
0.212891 0.406724 0.0884768 -0.996078 1
0.212891 0.415501 -0.0837562 0.996486 1
0.217813 0.0501593 -0.553177 -0.833064 3
0.216797 0.052321 -0.500459 -0.86576 3
0.216797 0.0603319 0.34667 0.937987 3
0.216797 0.122679 -0.279003 -0.96029 1
0.21764 0.13632 0.337893 0.941184 1
0.216797 0.137473 0.337893 0.941184 1
0.216797 0.329273 0.210015 -0.977698 1
0.216797 0.346194 -0.172331 0.985039 1
0.216797 0.406992 0.0705413 -0.997509 1
0.216797 0.41577 -0.0670161 0.997752 1
0.220703 0.0493023 -0.378711 -0.925515 3
0.219857 0.0511073 -0.282398 -0.959297 3
0.220814 0.0579016 0.351684 0.936119 3
0.219959 0.0591895 0.441991 0.89702 3
0.221671 0.120836 -0.253255 -0.967399 1
0.220703 0.121792 -0.253255 -0.967399 1
0.220703 0.135595 0.306477 0.951878 1
0.220703 0.329898 0.166485 -0.986044 1
0.220703 0.34675 -0.138659 0.99034 1
0.220703 0.407203 0.0525451 -0.998619 1
0.220703 0.415986 -0.0514675 0.998675 1
0.224609 0.0489123 0.244248 -0.969713 3
0.224609 0.05648 0.499079 0.866556 3
0.224609 0.120309 -0.229418 -0.973328 1
0.224609 0.134651 0.274991 0.961447 1
