x y n.x n.y
0.34082 0.102824 0.279549 -0.960131 1
0.340393 0.132614 -0.340821 0.940128 1
0.34082 0.133197 -0.340821 0.940128 1
0.342658 0.103254 0.291069 -0.956702 1
0.342998 0.103745 0.291069 -0.956702 1
0.342773 0.133765 -0.355746 0.934583 1
0.344727 0.104165 0.302941 -0.953009 1
0.344727 0.13435 -0.370247 0.928933 1
0.345173 0.134977 -0.370247 0.928933 1
0.34668 0.104669 0.315628 -0.948883 1
0.34668 0.135415 -0.385977 0.922508 1
0.348546 0.10516 0.32769 -0.944785 1
0.348921 0.105708 0.32769 -0.944785 1
0.348633 0.136053 -0.401835 0.915712 1
0.350586 0.106153 0.340484 -0.94025 1
0.350105 0.136491 -0.417277 0.908779 1
0.350586 0.137193 -0.417277 0.908779 1
0.352539 0.106716 0.353772 -0.935332 1
0.352539 0.137883 -0.432808 0.901486 1
0.354163 0.107166 0.366963 -0.930235 1
0.354573 0.107775 0.366963 -0.930235 1
0.354079 0.138388 -0.449294 0.893384 1
0.354561 0.139128 -0.449294 0.893384 1
0.356445 0.10835 0.380401 -0.924822 1
0.356445 0.139842 -0.465708 0.884939 1
0.358377 0.108966 0.394043 -0.919092 1
0.358811 0.109617 0.394043 -0.919092 1
0.35792 0.140351 -0.481603 0.876389 1
0.358429 0.141145 -0.481743 0.876313 1
0.360352 0.110093 0.408179 -0.912902 1
0.360352 0.141936 -0.498747 0.866748 1
0.360942 0.142798 -0.49559 0.868557 1
0.362305 0.110766 0.42245 -0.906386 1
0.362878 0.111516 0.42245 -0.906386 1
0.362305 0.143302 -0.51493 0.857232 1
0.364258 0.11195 0.437136 -0.899395 1
0.364056 0.144045 -0.531735 0.846911 1
0.364608 0.144925 -0.531735 0.846911 1
0.366211 0.112674 0.452196 -0.891919 1
0.366806 0.113475 0.452196 -0.891919 1
0.366211 0.145618 -0.549337 0.835601 1
0.368164 0.113927 0.467593 -0.883944 1
0.367626 0.146193 -0.55336 0.832943 1
0.368197 0.147132 -0.566123 0.824321 1
0.370108 0.114701 0.482855 -0.875701 1
0.370618 0.115497 0.482855 -0.875701 1
0.369869 0.147916 -0.582611 0.812751 1
0.37046 0.14889 -0.581523 0.81353 1
0.37207 0.116031 0.497818 -0.867282 1
0.372059 0.149665 -0.600835 0.799373 1
0.372668 0.150678 -0.603749 0.797174 1
0.373802 0.116734 0.514949 -0.857221 1
0.37434 0.117584 0.514949 -0.857221 1
