x y n.x n.y
0.214844 0.122503 -0.327516 -0.944846 4
0.214844 0.137548 0.337559 0.941304 4
0.212965 0.327638 0.233476 -0.972363 4
0.214844 0.329403 0.228318 -0.973587 4
0.214844 0.346262 -0.193607 0.981079 4
0.214687 0.405296 0.246617 -0.969113 4
0.217533 0.407719 0.770201 -0.637801 4
0.214844 0.416415 0.0879972 0.996121 4
0.222656 0.120651 -0.249644 -0.968338 4
0.222656 0.135258 0.290128 0.956988 4
0.222656 0.330532 0.141665 -0.989915 4
0.222656 0.347295 -0.119713 0.992809 4
0.224261 0.410156 0.905641 -0.424044 4
0.222656 0.416296 0.41115 0.911568 4
0.230469 0.119059 -0.119775 -0.992801 4
0.230946 0.132471 0.0991837 0.995069 4
0.230324 0.133604 0.205964 0.97856 4
0.230469 0.331156 0.056694 -0.998392 4
0.230469 0.347891 -0.0486703 0.998815 4
0.230469 0.411677 -0.341387 -0.939923 4
0.230469 0.415407 -0.141151 0.989988 4
0.238281 0.118347 0.075171 -0.997171 4
0.238281 0.131287 0.145998 0.989285 4
0.238281 0.331245 -0.0286442 -0.99959 4
0.238281 0.34801 0.0182071 0.999834 4
0.236493 0.409384 -0.828558 -0.559903 4
0.238281 0.416947 -0.46183 0.886968 4
0.246813 0.116855 -0.103857 -0.994592 4
0.246094 0.11772 0.0265303 -0.999648 4
0.246094 0.130176 0.105907 0.994376 4
0.246094 0.330801 -0.121826 -0.992551 4
0.246094 0.347621 0.0858331 0.99631 4
0.244931 0.40675 -0.179433 -0.98377 4
0.246094 0.41744 -0.0557484 0.998445 4
0.253906 0.116267 -0.0877241 -0.996145 4
0.253906 0.129528 0.0573219 0.998356 4
0.253906 0.329757 -0.224403 -0.974497 4
0.253906 0.346797 0.161029 0.98695 4
0.253906 0.405884 -0.0658363 -0.99783 4
0.253906 0.416595 0.147314 0.98909 4
0.261719 0.116162 -0.0126718 -0.99992 4
0.261719 0.129191 0.0205381 0.999789 4
0.261719 0.326462 -0.317948 -0.948108 4
0.259882 0.32868 -0.259182 -0.965829 4
0.261719 0.345525 0.244884 0.969552 4
0.261719 0.405019 -0.101885 -0.994796 4
0.261719 0.415404 0.145046 0.989425 4
0.269531 0.116208 0.0388171 -0.999246 4
0.269531 0.129232 -0.0295575 0.999563 4
0.269531 0.324102 -0.412886 -0.910783 4
0.269531 0.342109 0.32432 0.945947 4
0.26763 0.344439 0.325102 0.945679 4
0.269531 0.404121 0.233656 -0.972319 4
0.272549 0.412298 0.89319 0.44968 4
0.268073 0.414793 0.285809 0.958286 4
0.277344 0.116572 0.0736264 -0.997286 4
0.277344 0.129612 -0.0684843 0.997652 4
0.278225 0.318462 -0.521809 -0.853062 4
0.276167 0.32185 -0.490687 -0.871336 4
0.277344 0.339732 0.404606 0.914491 4
0.277344 0.404929 0.188479 -0.982077 4
0.277516 0.410156 0.747076 0.664739 4
0.285156 0.117665 0.05776 -0.99833 4
0.285156 0.130328 -0.0879894 0.996121 4
0.287341 0.310927 -0.674628 -0.738158 4
0.284772 0.315387 -0.633897 -0.773417 4
0.285998 0.334318 0.467301 0.884098 4
0.284075 0.337511 0.486607 0.873621 4
0.285437 0.402386 -0.729246 -0.684252 4
0.285156 0.409574 -0.5374 0.843328 4
0.292969 0.118879 0.116453 -0.993196 4
0.292969 0.131387 -0.123342 0.992364 4
0.294755 0.22292 -0.864261 -0.503043 4
0.294616 0.230469 -0.976567 0.215215 4
0.295307 0.302456 -0.818218 -0.574908 4
0.292274 0.308176 -0.735714 -0.677293 4
0.292969 0.331287 0.58045 0.814296 4
0.293268 0.396865 -0.399488 -0.916738 4
0.290382 0.399532 -0.638525 -0.769601 4
0.292969 0.411585 -0.258443 0.966026 4
0.300781 0.120346 0.196689 -0.980466 4
0.298964 0.132502 -0.147201 0.989107 4
0.300781 0.134368 -0.273568 0.961853 4
0.300942 0.217438 -0.330629 -0.943761 4
0.299384 0.220572 -0.587502 -0.809223 4
0.297229 0.232375 -0.984702 0.174249 4
0.299824 0.238281 -0.850647 0.525738 4
0.303032 0.245267 -0.880738 0.473604 4
0.303996 0.287123 -0.94198 -0.33567 4
0.301982 0.292969 -0.890584 -0.454819 4
0.299085 0.300071 -0.822461 -0.568821 4
0.30082 0.324505 0.683315 0.730124 4
0.298163 0.329177 0.632371 0.774666 4
0.300781 0.395905 -0.0598578 -0.998207 4
0.300781 0.409437 0.489892 0.871783 4
0.308594 0.122012 0.269454 -0.963013 4
0.308594 0.136239 -0.299346 0.954145 4
0.307094 0.217693 0.40193 -0.915671 4
0.308951 0.220675 0.476737 -0.879046 4
0.306278 0.247042 -0.880738 0.473604 4
0.308006 0.253906 -0.960663 0.277717 4
0.309074 0.261719 -0.997 0.0774034 4
0.309048 0.269531 -0.997327 -0.0730714 4
0.308063 0.277344 -0.978047 -0.208385 4
0.306365 0.285156 -0.94198 -0.33567 4
0.311399 0.310726 0.849631 0.527378 4
0.308547 0.316406 0.770151 0.637861 4
0.306029 0.321744 0.729675 0.683794 4
0.308594 0.395074 -0.267371 -0.963594 4
0.308594 0.402897 0.498843 0.866692 4
0.306496 0.407162 0.450349 0.892853 4
0.316048 0.123806 0.318835 -0.94781 4
0.317229 0.125519 0.165884 -0.986145 4
0.316406 0.138337 -0.301612 0.953431 4
0.315029 0.223872 0.728623 -0.684915 4
0.31804 0.230331 0.856376 -0.516353 4
0.317978 0.300781 0.901838 0.432075 4
0.314895 0.308439 0.842887 0.53809 4
0.317261 0.388565 -0.559405 -0.828894 4
0.314189 0.394167 -0.902618 -0.430443 4
0.316406 0.401855 -0.177874 0.984053 4
0.324219 0.127798 0.34858 -0.937279 4
0.321982 0.140053 -0.323996 0.946058 4
0.324219 0.143039 -0.445521 0.895271 4
0.321184 0.232735 0.883019 -0.469337 4
0.322398 0.238281 0.944987 -0.327108 4
0.324128 0.246094 0.973716 -0.227764 4
0.325405 0.253906 0.990364 -0.138487 4
0.326202 0.261719 0.998846 -0.0480329 4
0.326219 0.269531 0.998948 0.0458669 4
0.325418 0.277344 0.989623 0.143687 4
0.324072 0.285156 0.970439 0.241345 4
0.322239 0.292969 0.942551 0.334061 4
0.321052 0.298427 0.902804 0.430053 4
0.324219 0.385165 -0.422115 -0.906542 4
0.324219 0.401583 0.333961 0.942587 4
0.332031 0.13058 0.447302 -0.894383 4
0.334047 0.133462 0.324915 -0.945743 4
0.332031 0.145991 -0.451412 0.892316 4
0.334138 0.149513 -0.513038 0.858366 4
0.332031 0.38144 -0.230666 -0.973033 4
0.33462 0.383831 0.611677 -0.791108 4
0.332207 0.394855 0.692678 0.721247 4
0.329974 0.399921 0.625804 0.77998 4
0.339844 0.135672 0.484357 -0.874871 4
0.339844 0.152003 -0.574194 0.818719 4
0.342267 0.373511 -0.70852 -0.70569 4
0.339648 0.378906 -0.747117 -0.664693 4
0.339844 0.38641 0.62084 0.783937 4
0.337382 0.391986 0.685706 0.727878 4
0.346346 0.138704 0.594842 -0.803842 4
0.348736 0.142602 0.573249 -0.819381 4
0.345648 0.154745 -0.621432 0.783468 4
0.348174 0.159236 -0.66124 0.750175 4
0.349954 0.365625 -0.696747 -0.717317 4
0.347151 0.370786 -0.726739 -0.686913 4
0.347656 0.384849 0.185766 0.982594 4
0.354705 0.14576 0.648631 -0.761103 4
0.357326 0.150307 0.673841 -0.738877 4
0.353525 0.162114 -0.704732 0.709473 4
0.356346 0.167469 -0.747358 0.664421 4
0.357978 0.357929 -0.719169 -0.694835 4
0.355182 0.362942 -0.701976 -0.7122 4
0.355693 0.380109 0.591784 0.806097 4
0.354001 0.384247 0.507045 0.86192 4
0.362473 0.15311 0.711777 -0.702405 4
0.365386 0.158467 0.776025 -0.630702 4
0.361091 0.169971 -0.74297 0.669324 4
0.363694 0.175781 -0.82451 0.565847 4
0.366292 0.181201 -0.860652 0.509194 4
0.365749 0.349274 -0.846531 -0.532339 4
0.362592 0.355446 -0.770122 -0.637897 4
0.367157 0.362681 0.999956 -0.00935406 4
0.363873 0.371094 0.808488 0.588513 4
0.361199 0.377105 0.755853 0.654742 4
0.369713 0.160872 0.784127 -0.6206 4
0.372896 0.167696 0.865338 -0.501188 4
0.369506 0.183594 -0.899459 0.437005 4
0.372619 0.191406 -0.918348 0.395774 4
0.374348 0.196903 -0.925291 0.379259 4
0.374002 0.333565 -0.921764 -0.387752 4
0.372017 0.339844 -0.911211 -0.41194 4
0.369057 0.347656 -0.902784 -0.430093 4
0.373325 0.357086 0.806939 0.590635 4
0.370404 0.363281 0.822045 0.569422 4
0.376538 0.169517 0.837524 -0.5464 4
0.378865 0.175781 0.884175 -0.467156 4
0.381543 0.182907 0.930306 -0.366784 4
0.376702 0.199219 -0.957703 0.287758 4
0.379368 0.207031 -0.933746 0.357936 4
0.381582 0.214736 -0.951351 0.308109 4
0.382333 0.310761 -0.963992 -0.265932 4
0.380973 0.316406 -0.951045 -0.309051 4
0.378892 0.324219 -0.953109 -0.302628 4
0.376621 0.332031 -0.964075 -0.26563 4
0.38081 0.34787 0.879049 0.476731 4
0.377332 0.35494 0.822923 0.568153 4
0.384529 0.18424 0.884819 -0.465934 4
0.386993 0.191406 0.919777 -0.392442 4
0.389434 0.199219 0.971348 -0.237663 4
0.383984 0.216208 -0.908168 0.418606 4
0.38484 0.222656 -0.987064 0.160328 4
0.385876 0.230469 -0.996722 0.0808986 4
0.387097 0.238281 -0.991444 0.130535 4
0.388176 0.246094 -0.993031 0.117853 4
0.388883 0.253906 -0.998059 0.0622823 4
0.389265 0.261719 -0.999826 0.0186282 4
0.389252 0.269531 -0.999775 -0.0212186 4
0.388849 0.277344 -0.99797 -0.0636846 4
0.38816 0.285156 -0.99453 -0.104449 4
0.387212 0.292969 -0.992188 -0.124755 4
0.385932 0.300781 -0.988203 -0.153149 4
0.384402 0.308594 -0.979583 -0.201039 4
0.390428 0.325329 0.99753 0.0702462 4
0.388613 0.332031 0.96506 0.262029 4
0.38596 0.339844 0.918597 0.395195 4
0.384021 0.345778 0.85911 0.51179 4
0.391864 0.199952 0.931513 -0.363709 4
0.393407 0.207031 0.97338 -0.229196 4
0.394309 0.214844 0.996073 -0.0885354 4
0.395256 0.222656 0.990938 -0.13432 4
0.396918 0.230469 0.980097 -0.198518 4
0.39824 0.237783 0.998328 -0.0578048 4
0.398367 0.284633 0.99978 -0.0209783 4
0.398118 0.292969 0.99894 -0.0460281 4
0.396977 0.300781 0.995643 0.0932521 4
0.39557 0.308594 0.988077 0.153963 4
0.393824 0.316406 0.969992 0.243136 4
0.391954 0.324219 0.958789 0.284118 4
0.399109 0.238281 0.990644 -0.136468 4
0.399702 0.246094 0.996719 -0.0809442 4
0.400061 0.253906 0.999076 -0.0429832 4
0.400187 0.261719 0.999965 -0.0083362 4
0.400162 0.269531 0.999505 0.0314677 4
0.399851 0.277344 0.997355 0.0726789 4
0.399233 0.285156 0.996022 0.0891033 4
0.398658 0.291021 0.993707 0.112012 4
